239435776,239719424
268127744,268405248
295366144,295653888
321126400,321518592
-487469056,-487921152
-479297536,-479843328
-468580864,-468977664
-455760896,-456218624
-440893952,-441316864
-424351744,-424766464
-406076928,-406512128
-385453056,-385861632
-364155904,-364525568
-340602368,-340859392
-315614208,-315985920
-289433088,-289653248
-262102016,-262413824
-233403904,-233605632
-204250624,-204421632
-173669888,-173838336
-142330368,-142505472
-110818816,-110938624
-78993920,-79105536
-46253056,-46311424
-13524480,-13494784
19251200,19310080
52067840,52161536
84041216,84175872
116340224,116503040
148268544,148454400
179171328,179399680
209723904,209913856
239259136,239479296
267926528,268265472
295207936,295528448
320933888,321258496
-487273984,-487787008
-479163392,-479691264
-468277248,-468753920
-455744000,-456203776
-440766464,-441267200
-424187392,-424626688
-405935104,-406366208
-385430016,-385828352
-364407296,-364733952
-341201920,-341514240
-316406272,-316697600
-289985024,-290303488
-262348800,-262638592
-233522176,-233729536
-204301312,-204529152
-173767168,-173929984
-142436352,-142557696
-111254528,-111306240
-79820288,-79813120
-47273984,-47352320
-14557696,-14502912
18318848,18381312
50934784,51038720
82977792,83048960
115397632,115567104
147086848,147247616
177905664,178134016
208306688,208484352
237801472,238081024
266464768,266734080
293701120,294077440
319617536,319991808
-487686144,-488203264
-479649792,-480123392
-468793856,-469300736
-456141312,-456580608
-441278976,-441775104
-424691200,-425085440
-406457344,-406879744
-386071040,-386495488
-364675584,-365075456
-341261312,-341642752
-316234240,-316527616
-290067456,-290352128
-262799360,-263031296
-233999360,-234322944
-204901376,-205028352
-174463488,-174631424
-143123968,-143214592
-111528448,-111649792
-79711744,-79760896
-47108096,-47190016
-14243840,-14207488
18554368,18550272
51271168,51399680
83330048,83432448
115692544,115876864
147496448,147598336
178421760,178574848
208843264,208992768
238394880,238657024
267090944,267324416
294383104,294743040
320252416,320552960
-487263232,-487770112
-479118336,-479673856
-468492288,-468945408
-455718912,-456174080
-441053184,-441462784
-424522752,-425020928
-406200832,-406600704
-385753088,-386187776
-364275712,-364628480
-340943360,-341287936
-315897856,-316203008
-289890816,-290206208
-262498304,-262733824
-233779712,-234029568
-204677632,-204837376
-174168576,-174350848
-142900736,-142964224
-111196672,-111342080
-79592448,-79657984
-46763520,-46824960
-14094336,-14104576
18681344,18722304
51404288,51467776
83569664,83653632
115813376,115967488
147719680,147881472
178614272,178741248
209099264,209302016
238562816,238839296
267310080,267570176
294468608,294773760
320405504,320729088
342786560,343176192
365786624,366209024
387704832,388147200
408129024,408563712
426040320,426480640
442335744,442786304
456766976,457250304
469206016,469715968
479560704,480044032
487763968,488247296
494688256,495144448
498887680,499425792
501116416,501580800
500907520,501413376
498855936,499392000
494270976,494800896
487515648,487988224
479124992,479646720
468548096,468964864
455318016,455816704
440864768,441290240
424062464,424503808
406328320,406706176
385663488,386045440
364083712,364342784
339926016,340301824
316008960,316218880
289965056,290248704
262621696,262843904
234071040,234219520
204473344,204609536
173902848,174034432
-489488384,-489918976
-481196032,-481710080
-470231552,-470698496
-457331200,-457851392
-442529792,-443006976
-425833472,-426234880
-407654912,-408082432
-387178496,-387522048
-365954560,-366339584
-342421504,-342701568
-317709312,-318041088
-291567104,-291884032
-265267712,-265439232
-236133376,-236347904
-207501824,-207734784
-177534976,-177640960
-145253376,-145461760
-113470976,-113552384
-81350656,-81425920
-48767488,-48766464
-16347648,-16384000
16059904,16130048
48967168,49037312
80645632,80749056
113551360,113637888
145181184,145435648
176397824,176617472
206710784,206950912
236901888,237107200
265620992,265877504
292957696,293257216
318859776,319239168
142866432,143069696
110971904,110999040
78745088,78858752
46907392,46918656
14494208,14548480
-18277376,-18330112
-51092480,-51163136
-83657728,-83742720
-115395584,-115533824
-146951168,-147091456
-177800704,-177977856
-207946240,-208178688
-236848640,-237150720
-265154048,-265458176
-292404736,-292723200
-318422016,-318787584
-343165952,-343517184
-366362624,-366795776
-387566080,-387972096
-407881728,-408357888
-425817600,-426313728
-442296832,-442777088
-456837120,-457339392
-469382656,-469895168
-479989248,-480516096
-487717376,-488291328
-495091712,-495606272
-499256320,-499840512
-501775872,-502280192
-501587968,-502091776
-499132416,-499593216
-494758400,-495233536
343733248,344104448
367038464,367421952
388585472,389032448
409236992,409645056
427070464,427623424
443582464,444033536
